PLAYER_ID,PLAYER_NAME,GP,MIN_TOTAL,PRIMARY_DECADE,ERA_LABEL,HP_PCT,ATTACK_PCT,DEFENSE_PCT,SPATK_PCT,SPDEF_PCT,SPEED_PCT
202325,Wesley Johnson,609,13471.281666666666,2010,Pace-and-Space Small-Ball,61.91934708318092,32.12556586085637,37.02952005802598,28.90515208679126,52.694427389441024,60.99926342967781
202326,DeMarcus Cousins,654,19508.95,2010,Pace-and-Space Small-Ball,84.40499862446416,93.83568115267444,37.29853587950915,73.23272735239404,90.46049398151456,48.27581731310627
202327,Ekpe Udoh,384,5693.66,2010,Pace-and-Space Small-Ball,41.13448947750042,13.719570929765787,70.47452604905483,24.544693855863493,46.701197956034875,36.098895108529824
202328,Greg Monroe,646,17670.078333333335,2010,Pace-and-Space Small-Ball,77.85257242633088,76.21164226312631,33.66435901854581,59.50615255913543,81.30405441638241,25.377646576348482
202329,Al-Farouq Aminu,711,17698.091666666667,2010,Pace-and-Space Small-Ball,68.69923487061044,28.106839406155842,47.71109727847408,29.45437117816225,76.53696281269944,41.13863414543817
202330,Gordon Hayward,835,25652.961666666666,2010,Pace-and-Space Small-Ball,86.09751533965249,76.3607813457863,46.514805204882606,74.83202944361489,52.097937822272,33.967969457606934
202331,Paul George,908,30515.378333333334,2010,Pace-and-Space Small-Ball,92.52652556444417,88.80657559110855,62.85511962324701,73.98079348680609,79.80625888781138,36.86670866938647
202332,Cole Aldrich,339,3388.0533333333333,2010,Pace-and-Space Small-Ball,22.75528993864048,33.543502358194246,59.45708644241092,39.20739490543505,81.9606621323127,41.80234307455587
202333,Xavier Henry,185,2905.355,2010,Pace-and-Space Small-Ball,39.09081358989542,44.940135912656785,62.11780636220789,27.4475814758052,46.35077808431927,29.784858077475498
202334,Ed Davis,722,13756.481666666667,2010,Pace-and-Space Small-Ball,51.28740732044677,32.171870634785165,51.91122921076097,22.065767892232937,64.09536023872634,32.22542071841301
202335,Patrick Patterson,719,14920.61,2010,Pace-and-Space Small-Ball,56.89723529404964,33.65374832627439,55.02845238968519,30.216989237824812,46.82291412930119,36.173823840665605
202336,Larry Sanders,238,4634.8983333333335,2010,Pace-and-Space Small-Ball,55.994402995444005,35.5947477718918,79.26867187028776,21.74013425364155,67.48775427584827,29.032540891071903
202337,Luke Babbitt,381,5332.106666666667,2010,Pace-and-Space Small-Ball,32.56655238269658,39.853377819257574,39.425871459885514,23.353697876276645,37.774253654888554,43.45862004559184
202338,Kevin Seraphin,423,6430.655,2010,Pace-and-Space Small-Ball,39.31006796930385,56.34606598098565,65.00416608310606,25.50779353074165,39.32184616104898,26.673843821547155
202339,Eric Bledsoe,756,21019.911666666667,2010,Pace-and-Space Small-Ball,78.7031542082813,74.16995873904904,52.38236811457168,87.66548434954969,61.84440894040205,57.57770396078571
202340,Avery Bradley,660,18151.593333333334,2010,Pace-and-Space Small-Ball,78.85006164454272,56.748358751914395,51.224850002775334,43.60958883085089,42.64530730154929,51.64392619394678
